show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,description,user_rating_score,number_of_reviews
s31,Documentary,BoJack Horseman,Bong Joon-ho,United States,,2003,PG-13,1 Season,Children & Family Movies,Description of show.,,
s11,TV Show,House of Cards,Ava DuVernay,United States,1-Aug-18,2018,TV-14,1 Season,Comedies,Description of show.,8.7,702
s47,movie,Money Heist,Noah Baumbach,Spain,15-Jul-20,2007,pg13, ,Dramas,Description of show.,8.3,
s16,Documentary,Stranger Things,Noah Baumbach,United States,15-Jul-20,2013,tv-ma,45 min,Dramas,Description of show.,5.5,
s10,TV Show,Bird Box,Alfonso Cuarón,,,2015,TV-14, ,Action & Adventure,Description of show.,7.6,
s41,tv show,Stranger Things,Christopher Nolan,United States,,2010,pg13,1 Season,Documentaries,Description of show.,6.8,553
s7,movie,Ozark,Quentin Tarantino,United States,1-Oct-17,2002,PG-13,45 min,Comedies,Description of show.,5.2,606
s1,Stand-Up,The Crown,Greta Gerwig,United Kingdom,9-Sep-19,2012,pg13,45 min,Action & Adventure,Description of show.,,856
s50,tv show,Marriage Story,Quentin Tarantino,United States,9-Sep-19,2003,,100 min,Documentaries,Description of show.,5.9,
s2,Movie,The Irishman,Bong Joon-ho,United States,1-Oct-17,2000,pg13, ,Documentaries,Description of show.,,314
s43,Stand-Up,The Queen's Gambit,,United States,,2022,tv-ma,90 min,Comedies,Description of show.,8.6,
s20,Documentary,Black Mirror,Greta Gerwig,United Kingdom,1-Aug-18,2010,TV-14,90 min,Comedies,Description of show.,,155
s25,TV Show,Dark,David Fincher,Germany,,2006,TV-PG,100 min,Comedies,Description of show.,,
s45,Movie,The Queen's Gambit,Quentin Tarantino,United States,9-Sep-19,2019,tv-ma,45 min,Action & Adventure,Description of show.,,334
s24,TV Show,Money Heist,Martin Scorsese,Spain,15-Jul-20,2019,TV-MA,,Comedies,Description of show.,7.6,780
s11,movie,Breaking Bad,Bong Joon-ho,United States,1-Aug-18,2018,TV-14,1 Season,Comedies,Description of show.,8.7,702
s44,Documentary,Stranger Things,,United States,15-Jul-20,2019,PG-13,100 min,Dramas,Description of show.,7.8,
s45,Documentary,Narcos,Noah Baumbach,Colombia,9-Sep-19,2019,tv-ma,45 min,Action & Adventure,Description of show.,,334
s17,TV Show,House of Cards,,United States,,2018,TV-MA,100 min,Documentaries,Description of show.,,
s19,Stand-Up,Bird Box,Greta Gerwig,India,15-Jul-20,2008,,90 min,Dramas,Description of show.,5.5,617
s37,tv show,Money Heist,Quentin Tarantino,Spain,15-Jul-20,2011,tv-ma, ,Action & Adventure,Description of show.,,
s13,movie,Bridgerton,Bong Joon-ho,United Kingdom,9-Sep-19,2014,TV-14,1 Season,Documentaries,Description of show.,8.6,359
s18,tv show,Money Heist,Quentin Tarantino,,15-Jul-20,2005,pg13,90 min,Dramas,Description of show.,,
s24,Stand-Up,BoJack Horseman,,United States,15-Jul-20,2019,TV-MA,,Comedies,Description of show.,7.6,780
s43,Movie,The Queen's Gambit,Christopher Nolan,United States,,2022,tv-ma,90 min,Comedies,Description of show.,8.6,
s21,Movie,Mindhunter,Sofia Coppola,United States,1-Aug-18,2000,PG-13, ,Children & Family Movies,Description of show.,6.6,
s11,Documentary,Stranger Things,Noah Baumbach,United States,1-Aug-18,2018,TV-14,1 Season,Comedies,Description of show.,8.7,702
s37,Stand-Up,The Crown,Noah Baumbach,United Kingdom,15-Jul-20,2011,tv-ma, ,Action & Adventure,Description of show.,,
s45,Movie,Dark,Noah Baumbach,Germany,9-Sep-19,2019,tv-ma,45 min,Action & Adventure,Description of show.,,334
s40,tv show,Bird Box,Greta Gerwig,United Kingdom,1-Oct-17,2021,TV-MA,90 min,Documentaries,Description of show.,8.3,67
s6,Stand-Up,The Witcher,Christopher Nolan,Poland,,2009,TV-14,,Documentaries,Description of show.,,317
s24,TV Show,Black Mirror,Noah Baumbach,United Kingdom,15-Jul-20,2019,TV-MA,,Comedies,Description of show.,7.6,780
s46,Movie,The Crown,,United Kingdom,,2019,TV-14,90 min,Dramas,Description of show.,6.8,
s50,Stand-Up,The Irishman,Bong Joon-ho,United States,9-Sep-19,2003,,100 min,Documentaries,Description of show.,5.9,
s14,Movie,Money Heist,Noah Baumbach,Spain,1-Oct-17,2022,TV-MA, ,Children & Family Movies,Description of show.,6.4,
s26,Movie,The Witcher,Sofia Coppola,Poland,,2002,,45 min,Comedies,Description of show.,6.6,227
s13,Movie,Ozark,,United States,9-Sep-19,2014,TV-14,1 Season,Documentaries,Description of show.,8.6,359
s17,TV Show,Mindhunter,Greta Gerwig,United States,,2018,TV-MA,100 min,Documentaries,Description of show.,,
s16,Documentary,The Queen's Gambit,David Fincher,United States,15-Jul-20,2013,tv-ma,45 min,Dramas,Description of show.,5.5,
s2,Stand-Up,Mindhunter,Noah Baumbach,United States,1-Oct-17,2000,pg13, ,Documentaries,Description of show.,,314
s42,Stand-Up,The Irishman,Christopher Nolan,United States,15-Jul-20,2001,TV-PG,90 min,Action & Adventure,Description of show.,,545
s29,TV Show,Roma,Bong Joon-ho,Mexico,,2018,,,Dramas,Description of show.,9,820
s28,Stand-Up,Money Heist,David Fincher,Spain,,2002,tv-ma,,Documentaries,Description of show.,9,212
s12,Documentary,You,Ava DuVernay,United States,1-Aug-18,2017,pg13,90 min,Comedies,Description of show.,6,192
s32,Documentary,Marriage Story,Alfonso Cuarón,United States,9-Sep-19,2014,pg13,,Action & Adventure,Description of show.,5.7,
s37,Documentary,The Irishman,,United States,15-Jul-20,2011,tv-ma, ,Action & Adventure,Description of show.,,
s5,Documentary,Black Mirror,Christopher Nolan,United Kingdom,1-Aug-18,2008,tv-ma,90 min,Action & Adventure,Description of show.,,80
s39,TV Show,The Crown,Ava DuVernay,United Kingdom,9-Sep-19,2017,TV-PG,,Children & Family Movies,Description of show.,8.6,573
s10,Documentary,Marriage Story,Quentin Tarantino,United States,,2015,TV-14, ,Action & Adventure,Description of show.,7.6,
s28,Documentary,Dark,David Fincher,Germany,,2002,tv-ma,,Documentaries,Description of show.,9,212
s50,Stand-Up,The Crown,Martin Scorsese,United Kingdom,9-Sep-19,2003,,100 min,Documentaries,Description of show.,5.9,
s23,Movie,The Queen's Gambit,,,15-Jul-20,2021,,100 min,Children & Family Movies,Description of show.,7.7,
s34,Stand-Up,Money Heist,,Spain,9-Sep-19,2015,TV-MA, ,Comedies,Description of show.,,
s19,Documentary,Roma,Martin Scorsese,Mexico,15-Jul-20,2008,,90 min,Dramas,Description of show.,5.5,617
s8,Stand-Up,Black Mirror,David Fincher,United Kingdom,1-Aug-18,2006,TV-14,100 min,Dramas,Description of show.,6.8,340
s17,Documentary,The Witcher,Alfonso Cuarón,Poland,,2018,TV-MA,100 min,Documentaries,Description of show.,,
s49,movie,The Umbrella Academy,Bong Joon-ho,Canada,,2017,pg13,100 min,Children & Family Movies,Description of show.,,547
s36,Documentary,The Crown,Noah Baumbach,United Kingdom,1-Aug-18,2006,TV-14,45 min,Action & Adventure,Description of show.,8.7,
s30,tv show,The Umbrella Academy,Martin Scorsese,Canada,9-Sep-19,2004,PG-13,45 min,Comedies,Description of show.,,996
s34,movie,Breaking Bad,Martin Scorsese,United States,9-Sep-19,2015,TV-MA, ,Comedies,Description of show.,,
s32,Stand-Up,The Witcher,Christopher Nolan,Poland,9-Sep-19,2014,pg13,,Action & Adventure,Description of show.,5.7,
s50,Stand-Up,Breaking Bad,Ava DuVernay,United States,9-Sep-19,2003,,100 min,Documentaries,Description of show.,5.9,
s7,tv show,BoJack Horseman,Bong Joon-ho,United States,1-Oct-17,2002,PG-13,45 min,Comedies,Description of show.,5.2,606
s32,Stand-Up,The Witcher,Sofia Coppola,Poland,9-Sep-19,2014,pg13,,Action & Adventure,Description of show.,5.7,
s40,tv show,Money Heist,Ava DuVernay,Spain,1-Oct-17,2021,TV-MA,90 min,Documentaries,Description of show.,8.3,67
s27,Movie,Breaking Bad,David Fincher,United States,15-Jul-20,2018,pg13,45 min,Children & Family Movies,Description of show.,8.1,
s48,Stand-Up,Narcos,Noah Baumbach,Colombia,1-Oct-17,2002,PG-13,,Action & Adventure,Description of show.,,910
s30,TV Show,The Umbrella Academy,Quentin Tarantino,Canada,9-Sep-19,2004,PG-13,45 min,Comedies,Description of show.,,996
s32,Documentary,Stranger Things,David Fincher,United States,9-Sep-19,2014,pg13,,Action & Adventure,Description of show.,5.7,
s10,movie,Bridgerton,,United Kingdom,,2015,TV-14, ,Action & Adventure,Description of show.,7.6,
s23,tv show,BoJack Horseman,Bong Joon-ho,United States,15-Jul-20,2021,,100 min,Children & Family Movies,Description of show.,7.7,
s28,Stand-Up,Marriage Story,Bong Joon-ho,United States,,2002,tv-ma,,Documentaries,Description of show.,9,212
s38,Documentary,The Queen's Gambit,Greta Gerwig,United States,1-Oct-17,2010,TV-14,90 min,Action & Adventure,Description of show.,,
s45,movie,The Irishman,Alfonso Cuarón,United States,9-Sep-19,2019,tv-ma,45 min,Action & Adventure,Description of show.,,334
s33,Stand-Up,Stranger Things,Quentin Tarantino,United States,1-Oct-17,2001,tv-ma,45 min,Action & Adventure,Description of show.,6.8,741
s44,Movie,The Crown,Ava DuVernay,,15-Jul-20,2019,PG-13,100 min,Dramas,Description of show.,7.8,
s8,Movie,The Crown,Sofia Coppola,United Kingdom,1-Aug-18,2006,TV-14,100 min,Dramas,Description of show.,6.8,340
s2,movie,BoJack Horseman,Noah Baumbach,United States,1-Oct-17,2000,pg13, ,Documentaries,Description of show.,,314
s17,Movie,Bird Box,Ava DuVernay,,,2018,TV-MA,100 min,Documentaries,Description of show.,,
s4,tv show,The Queen's Gambit,,United States,,2002,TV-MA,100 min,Documentaries,Description of show.,8.6,
s34,tv show,The Queen's Gambit,,United States,9-Sep-19,2015,TV-MA, ,Comedies,Description of show.,,
s28,Documentary,Stranger Things,Bong Joon-ho,United States,,2002,tv-ma,,Documentaries,Description of show.,9,212
s20,movie,Narcos,Bong Joon-ho,Colombia,1-Aug-18,2010,TV-14,90 min,Comedies,Description of show.,,155
s3,Stand-Up,Money Heist,David Fincher,Spain,15-Jul-20,2010,PG-13,,Children & Family Movies,Description of show.,,
s47,Movie,Stranger Things,Sofia Coppola,United States,15-Jul-20,2007,pg13, ,Dramas,Description of show.,8.3,
s6,tv show,The Umbrella Academy,Quentin Tarantino,Canada,,2009,TV-14,,Documentaries,Description of show.,,317
s5,tv show,The Witcher,Christopher Nolan,Poland,1-Aug-18,2008,tv-ma,90 min,Action & Adventure,Description of show.,,80
s25,Movie,Mindhunter,Greta Gerwig,United States,,2006,TV-PG,100 min,Comedies,Description of show.,,
s42,tv show,Dark,,Germany,15-Jul-20,2001,TV-PG,90 min,Action & Adventure,Description of show.,,545
s26,Movie,The Irishman,David Fincher,United States,,2002,,45 min,Comedies,Description of show.,6.6,227
s48,tv show,Stranger Things,Alfonso Cuarón,United States,1-Oct-17,2002,PG-13,,Action & Adventure,Description of show.,,910
s39,tv show,Black Mirror,Christopher Nolan,,9-Sep-19,2017,TV-PG,,Children & Family Movies,Description of show.,8.6,573
s24,Stand-Up,The Crown,Noah Baumbach,,15-Jul-20,2019,TV-MA,,Comedies,Description of show.,7.6,780
s45,movie,Dark,David Fincher,Germany,9-Sep-19,2019,tv-ma,45 min,Action & Adventure,Description of show.,,334
s16,tv show,Breaking Bad,Martin Scorsese,United States,15-Jul-20,2013,tv-ma,45 min,Dramas,Description of show.,5.5,
s8,tv show,House of Cards,Noah Baumbach,United States,1-Aug-18,2006,TV-14,100 min,Dramas,Description of show.,6.8,340
s35,Stand-Up,The Crown,Martin Scorsese,United Kingdom,1-Aug-18,2014,PG-13,90 min,Action & Adventure,Description of show.,5.6,969
s11,Documentary,Mindhunter,Bong Joon-ho,United States,1-Aug-18,2018,TV-14,1 Season,Comedies,Description of show.,8.7,702
s4,Stand-Up,Bird Box,Quentin Tarantino,,,2002,TV-MA,100 min,Documentaries,Description of show.,8.6,
s33,tv show,Bridgerton,,United Kingdom,1-Oct-17,2001,tv-ma,45 min,Action & Adventure,Description of show.,6.8,741
s23,tv show,Black Mirror,Christopher Nolan,United Kingdom,15-Jul-20,2021,,100 min,Children & Family Movies,Description of show.,7.7,
s19,movie,Stranger Things,,United States,15-Jul-20,2008,,90 min,Dramas,Description of show.,5.5,617
s10,movie,Ozark,David Fincher,United States,,2015,TV-14, ,Action & Adventure,Description of show.,7.6,
s5,Movie,Stranger Things,Noah Baumbach,United States,1-Aug-18,2008,tv-ma,90 min,Action & Adventure,Description of show.,,80
s30,Documentary,The Irishman,,United States,9-Sep-19,2004,PG-13,45 min,Comedies,Description of show.,,996
s11,movie,You,Greta Gerwig,United States,1-Aug-18,2018,TV-14,1 Season,Comedies,Description of show.,8.7,702
s32,TV Show,Black Mirror,Martin Scorsese,United Kingdom,9-Sep-19,2014,pg13,,Action & Adventure,Description of show.,5.7,
s14,TV Show,The Crown,Sofia Coppola,United Kingdom,1-Oct-17,2022,TV-MA, ,Children & Family Movies,Description of show.,6.4,
s46,tv show,Mindhunter,David Fincher,United States,,2019,TV-14,90 min,Dramas,Description of show.,6.8,
s32,Movie,Stranger Things,Ava DuVernay,United States,9-Sep-19,2014,pg13,,Action & Adventure,Description of show.,5.7,
s16,Stand-Up,Bird Box,,United States,15-Jul-20,2013,tv-ma,45 min,Dramas,Description of show.,5.5,
s43,tv show,The Queen's Gambit,Greta Gerwig,United States,,2022,tv-ma,90 min,Comedies,Description of show.,8.6,
s40,movie,Breaking Bad,Alfonso Cuarón,United States,1-Oct-17,2021,TV-MA,90 min,Documentaries,Description of show.,8.3,67
s15,movie,The Crown,Christopher Nolan,United Kingdom,1-Oct-17,2006,TV-14,45 min,Documentaries,Description of show.,,859
s6,Stand-Up,BoJack Horseman,Sofia Coppola,United States,,2009,TV-14,,Documentaries,Description of show.,,317
s10,Movie,Ozark,Sofia Coppola,United States,,2015,TV-14, ,Action & Adventure,Description of show.,7.6,
s1,Movie,Money Heist,Christopher Nolan,Spain,9-Sep-19,2012,pg13,45 min,Action & Adventure,Description of show.,,856
s19,TV Show,The Queen's Gambit,,United States,15-Jul-20,2008,,90 min,Dramas,Description of show.,5.5,617
s37,Stand-Up,The Irishman,Ava DuVernay,United States,15-Jul-20,2011,tv-ma, ,Action & Adventure,Description of show.,,
s12,Stand-Up,You,Christopher Nolan,United States,1-Aug-18,2017,pg13,90 min,Comedies,Description of show.,6,192
s12,TV Show,You,Ava DuVernay,United States,1-Aug-18,2017,pg13,90 min,Comedies,Description of show.,6,192
s41,Stand-Up,Bird Box,,United Kingdom,,2010,pg13,1 Season,Documentaries,Description of show.,6.8,553
s12,Movie,Bird Box,,United Kingdom,1-Aug-18,2017,pg13,90 min,Comedies,Description of show.,6,192
s36,movie,Marriage Story,Martin Scorsese,United States,1-Aug-18,2006,TV-14,45 min,Action & Adventure,Description of show.,8.7,
s34,Stand-Up,House of Cards,David Fincher,United States,9-Sep-19,2015,TV-MA, ,Comedies,Description of show.,,
s16,Stand-Up,BoJack Horseman,Sofia Coppola,United States,15-Jul-20,2013,tv-ma,45 min,Dramas,Description of show.,5.5,
s45,TV Show,The Umbrella Academy,Noah Baumbach,Canada,9-Sep-19,2019,tv-ma,45 min,Action & Adventure,Description of show.,,334
s8,Documentary,Ozark,Sofia Coppola,United States,1-Aug-18,2006,TV-14,100 min,Dramas,Description of show.,6.8,340
s43,tv show,Breaking Bad,Ava DuVernay,United States,,2022,tv-ma,90 min,Comedies,Description of show.,8.6,
s6,TV Show,Ozark,Greta Gerwig,United States,,2009,TV-14,,Documentaries,Description of show.,,317
s20,movie,Money Heist,David Fincher,Spain,1-Aug-18,2010,TV-14,90 min,Comedies,Description of show.,,155
s2,Movie,Roma,,Mexico,1-Oct-17,2000,pg13, ,Documentaries,Description of show.,,314
s19,Stand-Up,The Irishman,Christopher Nolan,United States,15-Jul-20,2008,,90 min,Dramas,Description of show.,5.5,617
s24,Documentary,Ozark,Alfonso Cuarón,United States,15-Jul-20,2019,TV-MA,,Comedies,Description of show.,7.6,780
s26,Movie,House of Cards,Alfonso Cuarón,United States,,2002,,45 min,Comedies,Description of show.,6.6,227
s34,tv show,House of Cards,Martin Scorsese,United States,9-Sep-19,2015,TV-MA, ,Comedies,Description of show.,,
s3,Stand-Up,Mindhunter,,United States,15-Jul-20,2010,PG-13,,Children & Family Movies,Description of show.,,
s47,tv show,Mindhunter,Quentin Tarantino,United States,15-Jul-20,2007,pg13, ,Dramas,Description of show.,8.3,
s15,movie,BoJack Horseman,Alfonso Cuarón,United States,1-Oct-17,2006,TV-14,45 min,Documentaries,Description of show.,,859
s45,Documentary,Dark,,Germany,9-Sep-19,2019,tv-ma,45 min,Action & Adventure,Description of show.,,334
s19,Stand-Up,Roma,David Fincher,Mexico,15-Jul-20,2008,,90 min,Dramas,Description of show.,5.5,617
s19,Movie,Marriage Story,Sofia Coppola,United States,15-Jul-20,2008,,90 min,Dramas,Description of show.,5.5,617
s38,Movie,House of Cards,Christopher Nolan,United States,1-Oct-17,2010,TV-14,90 min,Action & Adventure,Description of show.,,
s3,movie,Money Heist,,Spain,15-Jul-20,2010,PG-13,,Children & Family Movies,Description of show.,,
s49,Movie,Stranger Things,Greta Gerwig,United States,,2017,pg13,100 min,Children & Family Movies,Description of show.,,547
s17,Movie,Narcos,Christopher Nolan,Colombia,,2018,TV-MA,100 min,Documentaries,Description of show.,,
s7,movie,The Crown,,United Kingdom,1-Oct-17,2002,PG-13,45 min,Comedies,Description of show.,5.2,606
s8,tv show,Money Heist,Greta Gerwig,Spain,1-Aug-18,2006,TV-14,100 min,Dramas,Description of show.,6.8,340
s33,movie,The Umbrella Academy,Christopher Nolan,Canada,1-Oct-17,2001,tv-ma,45 min,Action & Adventure,Description of show.,6.8,741
s15,tv show,Roma,Bong Joon-ho,Mexico,1-Oct-17,2006,TV-14,45 min,Documentaries,Description of show.,,859
s27,movie,Narcos,Sofia Coppola,Colombia,15-Jul-20,2018,pg13,45 min,Children & Family Movies,Description of show.,8.1,
s17,movie,Black Mirror,Martin Scorsese,United Kingdom,,2018,TV-MA,100 min,Documentaries,Description of show.,,
s30,movie,You,Sofia Coppola,United States,9-Sep-19,2004,PG-13,45 min,Comedies,Description of show.,,996
s49,Movie,The Witcher,Greta Gerwig,,,2017,pg13,100 min,Children & Family Movies,Description of show.,,547
s26,Movie,The Queen's Gambit,Ava DuVernay,United States,,2002,,45 min,Comedies,Description of show.,6.6,227
s31,movie,Ozark,Ava DuVernay,United States,,2003,PG-13,1 Season,Children & Family Movies,Description of show.,,
s27,tv show,Mindhunter,Sofia Coppola,United States,15-Jul-20,2018,pg13,45 min,Children & Family Movies,Description of show.,8.1,
s14,Stand-Up,Black Mirror,Martin Scorsese,United Kingdom,1-Oct-17,2022,TV-MA, ,Children & Family Movies,Description of show.,6.4,
s45,movie,Narcos,Noah Baumbach,Colombia,9-Sep-19,2019,tv-ma,45 min,Action & Adventure,Description of show.,,334
s2,Documentary,Bird Box,Sofia Coppola,India,1-Oct-17,2000,pg13, ,Documentaries,Description of show.,,314
s38,Stand-Up,Money Heist,Christopher Nolan,Spain,1-Oct-17,2010,TV-14,90 min,Action & Adventure,Description of show.,,
s34,Stand-Up,Breaking Bad,,United States,9-Sep-19,2015,TV-MA, ,Comedies,Description of show.,,
s31,movie,The Umbrella Academy,Alfonso Cuarón,Canada,,2003,PG-13,1 Season,Children & Family Movies,Description of show.,,
s16,tv show,Money Heist,Christopher Nolan,,15-Jul-20,2013,tv-ma,45 min,Dramas,Description of show.,5.5,
s26,tv show,The Queen's Gambit,Martin Scorsese,United States,,2002,,45 min,Comedies,Description of show.,6.6,227
s6,Documentary,Narcos,Alfonso Cuarón,Colombia,,2009,TV-14,,Documentaries,Description of show.,,317
s29,Movie,Stranger Things,Bong Joon-ho,United States,,2018,,,Dramas,Description of show.,9,820
s20,tv show,Marriage Story,Alfonso Cuarón,United States,1-Aug-18,2010,TV-14,90 min,Comedies,Description of show.,,155
s28,tv show,Marriage Story,,United States,,2002,tv-ma,,Documentaries,Description of show.,9,212
s30,Movie,Breaking Bad,Alfonso Cuarón,United States,9-Sep-19,2004,PG-13,45 min,Comedies,Description of show.,,996
s35,Movie,Stranger Things,Noah Baumbach,United States,1-Aug-18,2014,PG-13,90 min,Action & Adventure,Description of show.,5.6,969
s5,movie,The Umbrella Academy,Noah Baumbach,Canada,1-Aug-18,2008,tv-ma,90 min,Action & Adventure,Description of show.,,80
s42,movie,Ozark,Noah Baumbach,United States,15-Jul-20,2001,TV-PG,90 min,Action & Adventure,Description of show.,,545
s35,Documentary,Breaking Bad,Greta Gerwig,United States,1-Aug-18,2014,PG-13,90 min,Action & Adventure,Description of show.,5.6,969
s41,Stand-Up,The Queen's Gambit,Noah Baumbach,United States,,2010,pg13,1 Season,Documentaries,Description of show.,6.8,553
s35,TV Show,Dark,Greta Gerwig,Germany,1-Aug-18,2014,PG-13,90 min,Action & Adventure,Description of show.,5.6,969
s44,Stand-Up,The Queen's Gambit,Ava DuVernay,United States,15-Jul-20,2019,PG-13,100 min,Dramas,Description of show.,7.8,
s11,Documentary,Marriage Story,Martin Scorsese,United States,1-Aug-18,2018,TV-14,1 Season,Comedies,Description of show.,8.7,702
s50,movie,Breaking Bad,Quentin Tarantino,United States,9-Sep-19,2003,,100 min,Documentaries,Description of show.,5.9,
s32,Movie,You,Bong Joon-ho,United States,9-Sep-19,2014,pg13,,Action & Adventure,Description of show.,5.7,
s14,Documentary,Narcos,Greta Gerwig,Colombia,1-Oct-17,2022,TV-MA, ,Children & Family Movies,Description of show.,6.4,
s48,TV Show,The Umbrella Academy,,Canada,1-Oct-17,2002,PG-13,,Action & Adventure,Description of show.,,910
s1,movie,Roma,Christopher Nolan,Mexico,9-Sep-19,2012,pg13,45 min,Action & Adventure,Description of show.,,856
s23,Movie,Roma,Sofia Coppola,Mexico,15-Jul-20,2021,,100 min,Children & Family Movies,Description of show.,7.7,
s49,Movie,The Irishman,Bong Joon-ho,United States,,2017,pg13,100 min,Children & Family Movies,Description of show.,,547
s48,tv show,House of Cards,,United States,1-Oct-17,2002,PG-13,,Action & Adventure,Description of show.,,910
s18,Documentary,The Witcher,Alfonso Cuarón,Poland,15-Jul-20,2005,pg13,90 min,Dramas,Description of show.,,
s18,Stand-Up,Bird Box,David Fincher,United Kingdom,15-Jul-20,2005,pg13,90 min,Dramas,Description of show.,,
