"RULE_ID","STATUS","REQUIREMENT","DEFICIENCY","EVIDENCE","REMEDIATION"
"3.2.1","FAIL","Each data row contains one PROGRAM_CODE value.","The data does not meet this requirement.","PROGRAM_CODE is not available in the input file. 1000 affected records.  Affected rows: 1000. Examples: row 2: PROGRAM_CODE column is missing; row 3: PROGRAM_CODE column is missing; row 4: PROGRAM_CODE column is missing; row 5: PROGRAM_CODE column is missing; row 6: PROGRAM_CODE column is missing; row 7: PROGRAM_CODE column is missing; row 8: PROGRAM_CODE column is missing; row 9: PROGRAM_CODE column is missing; ...","Review the evidence, correct the source data, and rerun the examination."
"3.2.2","FAIL","Each PROGRAM_CODE begins with IQ.","The data does not meet this requirement.","PROGRAM_CODE cannot be checked because the column is missing. 1000 affected records.  Affected rows: 1000. Examples: row 2: PROGRAM_CODE column is missing; row 3: PROGRAM_CODE column is missing; row 4: PROGRAM_CODE column is missing; row 5: PROGRAM_CODE column is missing; row 6: PROGRAM_CODE column is missing; row 7: PROGRAM_CODE column is missing; row 8: PROGRAM_CODE column is missing; row 9: PROGRAM_CODE column is missing; ...","Review the evidence, correct the source data, and rerun the examination."
"3.2.3","FAIL","Each PROGRAM_CODE contains three digits after IQ.","The data does not meet this requirement.","PROGRAM_CODE cannot be checked because the column is missing. 1000 affected records.  Affected rows: 1000. Examples: row 2: PROGRAM_CODE column is missing; row 3: PROGRAM_CODE column is missing; row 4: PROGRAM_CODE column is missing; row 5: PROGRAM_CODE column is missing; row 6: PROGRAM_CODE column is missing; row 7: PROGRAM_CODE column is missing; row 8: PROGRAM_CODE column is missing; row 9: PROGRAM_CODE column is missing; ...","Review the evidence, correct the source data, and rerun the examination."
"3.2.4","FAIL","Each PROGRAM_CODE contains five characters.","The data does not meet this requirement.","PROGRAM_CODE cannot be checked because the column is missing. 1000 affected records.  Affected rows: 1000. Examples: row 2: PROGRAM_CODE column is missing; row 3: PROGRAM_CODE column is missing; row 4: PROGRAM_CODE column is missing; row 5: PROGRAM_CODE column is missing; row 6: PROGRAM_CODE column is missing; row 7: PROGRAM_CODE column is missing; row 8: PROGRAM_CODE column is missing; row 9: PROGRAM_CODE column is missing; ...","Review the evidence, correct the source data, and rerun the examination."
"3.3.1","FAIL","Each data row contains one FIRST_NAME value.","The data does not meet this requirement.","FIRST_NAME is not available as a separate column. 1000 affected records.  Affected rows: 1000. Examples: row 2: FIRST_NAME column is missing; source NAME is combined; row 3: FIRST_NAME column is missing; source NAME is combined; row 4: FIRST_NAME column is missing; source NAME is combined; row 5: FIRST_NAME column is missing; source NAME is combined; row 6: FIRST_NAME column is missing; source NAME is combined; row 7: FIRST_NAME column is missing; source NAME is combined; row 8: FIRST_NAME column is missing; source NAME is combined; row 9: FIRST_NAME column is missing; source NAME is combined; ...","Review the evidence, correct the source data, and rerun the examination."
"3.3.2","FAIL","Each FIRST_NAME represents the student given name.","The data does not meet this requirement.","The given name cannot be evaluated because FIRST_NAME is missing. 1000 affected records.  Affected rows: 1000. Examples: row 2: FIRST_NAME column is missing; source NAME is combined; row 3: FIRST_NAME column is missing; source NAME is combined; row 4: FIRST_NAME column is missing; source NAME is combined; row 5: FIRST_NAME column is missing; source NAME is combined; row 6: FIRST_NAME column is missing; source NAME is combined; row 7: FIRST_NAME column is missing; source NAME is combined; row 8: FIRST_NAME column is missing; source NAME is combined; row 9: FIRST_NAME column is missing; source NAME is combined; ...","Review the evidence, correct the source data, and rerun the examination."
"3.3.3","FAIL","Each FIRST_NAME uses uppercase letters.","The data does not meet this requirement.","FIRST_NAME capitalization cannot be evaluated because FIRST_NAME is missing. 1000 affected records.  Affected rows: 1000. Examples: row 2: FIRST_NAME column is missing; source NAME is combined; row 3: FIRST_NAME column is missing; source NAME is combined; row 4: FIRST_NAME column is missing; source NAME is combined; row 5: FIRST_NAME column is missing; source NAME is combined; row 6: FIRST_NAME column is missing; source NAME is combined; row 7: FIRST_NAME column is missing; source NAME is combined; row 8: FIRST_NAME column is missing; source NAME is combined; row 9: FIRST_NAME column is missing; source NAME is combined; ...","Review the evidence, correct the source data, and rerun the examination."
"3.3.4","FAIL","Each FIRST_NAME contains no title or honorific.","The data does not meet this requirement.","Titles cannot be separated because FIRST_NAME is missing. 1000 affected records.  Affected rows: 1000. Examples: row 2: FIRST_NAME column is missing; source NAME is combined; row 3: FIRST_NAME column is missing; source NAME is combined; row 4: FIRST_NAME column is missing; source NAME is combined; row 5: FIRST_NAME column is missing; source NAME is combined; row 6: FIRST_NAME column is missing; source NAME is combined; row 7: FIRST_NAME column is missing; source NAME is combined; row 8: FIRST_NAME column is missing; source NAME is combined; row 9: FIRST_NAME column is missing; source NAME is combined; ...","Review the evidence, correct the source data, and rerun the examination."
"3.3.5","FAIL","Each FIRST_NAME contains no suffix.","The data does not meet this requirement.","Suffixes cannot be evaluated because FIRST_NAME is missing. 1000 affected records.  Affected rows: 1000. Examples: row 2: FIRST_NAME column is missing; source NAME is combined; row 3: FIRST_NAME column is missing; source NAME is combined; row 4: FIRST_NAME column is missing; source NAME is combined; row 5: FIRST_NAME column is missing; source NAME is combined; row 6: FIRST_NAME column is missing; source NAME is combined; row 7: FIRST_NAME column is missing; source NAME is combined; row 8: FIRST_NAME column is missing; source NAME is combined; row 9: FIRST_NAME column is missing; source NAME is combined; ...","Review the evidence, correct the source data, and rerun the examination."
"3.3.6","FAIL","Each FIRST_NAME contains no surname particle.","The data does not meet this requirement.","Surname particles cannot be evaluated because FIRST_NAME is missing. 1000 affected records.  Affected rows: 1000. Examples: row 2: FIRST_NAME column is missing; source NAME is combined; row 3: FIRST_NAME column is missing; source NAME is combined; row 4: FIRST_NAME column is missing; source NAME is combined; row 5: FIRST_NAME column is missing; source NAME is combined; row 6: FIRST_NAME column is missing; source NAME is combined; row 7: FIRST_NAME column is missing; source NAME is combined; row 8: FIRST_NAME column is missing; source NAME is combined; row 9: FIRST_NAME column is missing; source NAME is combined; ...","Review the evidence, correct the source data, and rerun the examination."
"3.3.7","FAIL","Each FIRST_NAME contains no more than 60 characters.","The data does not meet this requirement.","FIRST_NAME length cannot be evaluated because FIRST_NAME is missing. 1000 affected records.  Affected rows: 1000. Examples: row 2: FIRST_NAME column is missing; source NAME is combined; row 3: FIRST_NAME column is missing; source NAME is combined; row 4: FIRST_NAME column is missing; source NAME is combined; row 5: FIRST_NAME column is missing; source NAME is combined; row 6: FIRST_NAME column is missing; source NAME is combined; row 7: FIRST_NAME column is missing; source NAME is combined; row 8: FIRST_NAME column is missing; source NAME is combined; row 9: FIRST_NAME column is missing; source NAME is combined; ...","Review the evidence, correct the source data, and rerun the examination."
"3.4.1","PASS","Each MIDTERM value is numeric.","None.","No deficiencies found.","None required."
"3.4.2","PASS","Each FINAL value is numeric.","None.","No deficiencies found.","None required."
"3.4.3","FAIL","Each ATTENDANCE value is numeric.","The data does not meet this requirement.","ATTENDANCE contains nonnumeric values. 37 affected records.  Affected rows: 37. Examples: row 47: unknown; row 49: N/A; row 75: unknown; row 92: 100%; row 117: seventy-five; row 181: 100%; row 223: unknown; row 243: seventy-five; ...","Review the evidence, correct the source data, and rerun the examination."
"3.4.4","FAIL","Each MIDTERM value does not exceed 100.","The data does not meet this requirement.","MIDTERM contains values above 100. 56 affected records.  Affected rows: 56. Examples: row 4: 110; row 32: 105; row 55: 103.2927885; row 69: 110; row 80: 102.9866177; row 112: 109.7198785; row 119: 107.1591613; row 126: 101.4818136; ...","Review the evidence, correct the source data, and rerun the examination."
"3.4.5","FAIL","Each FINAL value does not exceed 100.","The data does not meet this requirement.","FINAL contains values above 100. 80 affected records.  Affected rows: 80. Examples: row 17: 103.9318946; row 36: 115; row 58: 112.4853896; row 64: 108.6663788; row 85: 104.5551018; row 91: 116.0823683; row 106: 131.9382409; row 163: 107.2934219; ...","Review the evidence, correct the source data, and rerun the examination."
"3.4.6","PASS","Each ATTENDANCE value does not exceed 100.","None.","No deficiencies found.","None required."
"3.4.7","FAIL","Each MIDTERM value uses no more than one decimal place.","The data does not meet this requirement.","MIDTERM contains values with more than one decimal place. 42 affected records.  Affected rows: 42. Examples: row 55: 103.2927885; row 80: 102.9866177; row 112: 109.7198785; row 119: 107.1591613; row 126: 101.4818136; row 128: 106.832343; row 144: 106.9955006; row 189: 107.2977369; ...","Review the evidence, correct the source data, and rerun the examination."
"3.4.8","FAIL","Each FINAL value uses no more than one decimal place.","The data does not meet this requirement.","FINAL contains values with more than one decimal place. 69 affected records.  Affected rows: 69. Examples: row 17: 103.9318946; row 58: 112.4853896; row 64: 108.6663788; row 85: 104.5551018; row 91: 116.0823683; row 106: 131.9382409; row 163: 107.2934219; row 195: 104.2663917; ...","Review the evidence, correct the source data, and rerun the examination."
"3.4.9","PASS","Each ATTENDANCE value uses no more than one decimal place.","None.","No deficiencies found.","None required."
"3.4.10","PASS","A missing MIDTERM value is represented as null.","None.","No deficiencies found.","None required."
"3.4.11","PASS","A missing FINAL value is represented as null.","None.","No deficiencies found.","None required."
"3.4.12","FAIL","A missing ATTENDANCE value is represented as null.","The data does not meet this requirement.","ATTENDANCE uses text instead of null for missing data. 29 affected records.  Affected rows: 29. Examples: row 47: unknown; row 49: N/A; row 75: unknown; row 117: seventy-five; row 223: unknown; row 243: seventy-five; row 290: N/A; row 293: unknown; ...","Review the evidence, correct the source data, and rerun the examination."
"3.4.13","FAIL","A missing score is not represented by text.","The data does not meet this requirement.","Missing scores are represented by text. 29 affected records.  Affected rows: 29. Examples: row 47: unknown; row 49: N/A; row 75: unknown; row 117: seventy-five; row 223: unknown; row 243: seventy-five; row 290: N/A; row 293: unknown; ...","Review the evidence, correct the source data, and rerun the examination."
"3.5.1","FAIL","Each STUDENT_ID and COURSE_CODE combination is unique.","The data does not meet this requirement.","Duplicate student-course combinations were found. 18 affected records.  Affected rows: 18. Examples: row 27: S760|IQ101; row 761: S760|IQ101; row 29: S575|IQ101; row 576: S575|IQ101; row 106: S105|IQ101; row 756: S105|IQ101; row 144: S143|IQ101; row 230: S143|IQ101; ...","Review the evidence, correct the source data, and rerun the examination."
"4.1","NA","The output contains a COURSE_AVERAGE column.","The requirement could not be evaluated.","Not evaluated because the output report has not been created.","Create or provide the required data, then rerun the examination."
"4.2","NA","COURSE_AVERAGE uses MIDTERM.","The requirement could not be evaluated.","Not evaluated because the output report has not been created.","Create or provide the required data, then rerun the examination."
"4.3","NA","COURSE_AVERAGE uses FINAL.","The requirement could not be evaluated.","Not evaluated because the output report has not been created.","Create or provide the required data, then rerun the examination."
"4.4","NA","COURSE_AVERAGE uses ATTENDANCE.","The requirement could not be evaluated.","Not evaluated because the output report has not been created.","Create or provide the required data, then rerun the examination."
"4.5","NA","MIDTERM contributes 45 percent.","The requirement could not be evaluated.","Not evaluated because the output report has not been created.","Create or provide the required data, then rerun the examination."
"4.6","NA","FINAL contributes 45 percent.","The requirement could not be evaluated.","Not evaluated because the output report has not been created.","Create or provide the required data, then rerun the examination."
"4.7","NA","ATTENDANCE contributes 10 percent.","The requirement could not be evaluated.","Not evaluated because the output report has not been created.","Create or provide the required data, then rerun the examination."
"4.8","NA","COURSE_AVERAGE is rounded to a whole number.","The requirement could not be evaluated.","Not evaluated because the output report has not been created.","Create or provide the required data, then rerun the examination."
"4.9","NA","The output contains a FINAL_LETTER_GRADE column.","The requirement could not be evaluated.","Not evaluated because the output report has not been created.","Create or provide the required data, then rerun the examination."
"4.10","NA","FINAL_LETTER_GRADE is based on COURSE_AVERAGE.","The requirement could not be evaluated.","Not evaluated because the output report has not been created.","Create or provide the required data, then rerun the examination."
"4.11","NA","Averages 90 through 100 produce A.","The requirement could not be evaluated.","Not evaluated because the output report has not been created.","Create or provide the required data, then rerun the examination."
"4.12","NA","Averages 80 through 89 produce B.","The requirement could not be evaluated.","Not evaluated because the output report has not been created.","Create or provide the required data, then rerun the examination."
"4.13","NA","Averages 70 through 79 produce C.","The requirement could not be evaluated.","Not evaluated because the output report has not been created.","Create or provide the required data, then rerun the examination."
"4.14","NA","Averages 60 through 69 produce D.","The requirement could not be evaluated.","Not evaluated because the output report has not been created.","Create or provide the required data, then rerun the examination."
"4.15","NA","Averages 0 through 59 produce F.","The requirement could not be evaluated.","Not evaluated because the output report has not been created.","Create or provide the required data, then rerun the examination."
